Id,Author,Grade,Common Core,Description,Educational Use,In Language,"Intended End Use
   Role",Interactivity Type,Is Based On Url,Learning Resource Type,Location,puvlisher,Time Required,Title,Use Rights Url
8915,,8,8.G.2,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/reflections_y0x0_3vertices_010.pdf,,,geometry,
8916,,8,8.G.2,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/reflections_y0x0_3vertices_all.pdf,,,geometry,
8917,,8,8.G.2,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/reflections_y0x0_4vertices_001.pdf,,,geometry,
8918,,8,8.G.2,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/reflections_y0x0_4vertices_002.pdf,,,geometry,
8919,,8,8.G.2,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/reflections_y0x0_4vertices_003.pdf,,,geometry,
8920,,8,8.G.2,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/reflections_y0x0_4vertices_004.pdf,,,geometry,
8921,,8,8.G.2,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/reflections_y0x0_4vertices_005.pdf,,,geometry,
8922,,8,8.G.2,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/reflections_y0x0_4vertices_006.pdf,,,geometry,
8923,,8,8.G.2,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/reflections_y0x0_4vertices_007.pdf,,,geometry,
8924,,8,8.G.2,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/reflections_y0x0_4vertices_008.pdf,,,geometry,
8925,,8,8.G.2,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/reflections_y0x0_4vertices_009.pdf,,,geometry,
